,2017-11-06,2017-11-13,2017-11-20,2017-11-27,2017-12-04,2017-12-11,2017-12-18,2017-12-25,2018-01-01,2018-01-08,2018-01-15,2018-01-22,2018-01-29,2018-02-05,2018-02-12,2018-02-19,2018-02-26,2018-03-05,2018-03-12,2018-03-19,2018-03-26,2018-04-02,2018-04-09,2018-04-16,2018-04-23,2018-04-30
secondorder,29.0,28,29.0,31.0,32.0,32.0,31.0,32.0,32.0,31.0,27.0,25.0,24.0,24.0,25.0,23.0,24.0,21.0,21.0,23.0,24.0,21.0,23.0,23.0,25.0,24.0
hermitian,19.0,21,21.0,22.0,23.0,23.0,21.0,19.0,19.0,18.0,22.0,22.0,23.0,24.0,25.0,23.0,23.0,23.0,22.0,26.0,29.0,29.0,28.0,26.0,24.0,24.0
sqcd,7.0,7,7.0,7.0,11.0,10.0,9.0,15.0,17.0,18.0,16.0,18.0,18.0,18.0,18.0,19.0,19.0,22.0,22.0,22.0,22.0,24.0,26.0,24.0,24.0,24.0
entropic,18.0,19,19.0,19.0,16.0,22.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,18.0,14.0,19.0,19.0,19.0,23.0,23.0,20.0,22.0,23.0,24.0
einsteinhilbert,30.0,27,28.0,27.0,26.0,25.0,24.0,24.0,24.0,24.0,23.0,22.0,22.0,23.0,23.0,23.0,26.0,28.0,27.0,28.0,26.0,27.0,24.0,24.0,22.0,24.0
renyi,45.0,45,48.0,46.0,42.0,42.0,41.0,39.0,31.0,31.0,30.0,30.0,30.0,28.0,28.0,24.0,28.0,28.0,31.0,28.0,28.0,20.0,21.0,21.0,21.0,24.0
microstates,15.0,15,12.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,14.0,16.0,18.0,18.0,16.0,16.0,16.0,19.0,19.0,18.0,20.0,20.0,20.0,24.0
wesszumino,11.0,11,11.0,12.0,12.0,13.0,17.0,16.0,14.0,14.0,14.0,13.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,14.0,14.0,18.0,19.0,20.0,24.0
galileon,38.0,37,30.0,30.0,30.0,30.0,30.0,30.0,41.0,39.0,37.0,35.0,32.0,27.0,29.0,30.0,31.0,31.0,29.0,31.0,31.0,31.0,28.0,26.0,24.0,23.0
soliton,20.0,22,19.0,19.0,19.0,18.0,16.0,18.0,18.0,19.0,16.0,15.0,15.0,17.0,20.0,20.0,20.0,20.0,22.0,23.0,24.0,24.0,26.0,26.0,24.0,23.0
superalgebras,22.0,21,21.0,21.0,21.0,22.0,22.0,25.0,27.0,21.0,21.0,21.0,23.0,23.0,23.0,28.0,31.0,31.0,31.0,31.0,30.0,31.0,34.0,25.0,24.0,23.0
dirichlet,14.0,14,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,17.0,16.0,15.0,16.0,16.0,23.0,24.0,22.0,24.0,25.0,27.0,26.0,25.0,25.0,23.0,23.0
von,14.0,15,16.0,16.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,20.0,21.0,23.0,24.0,26.0,26.0,26.0,25.0,23.0,23.0,23.0,23.0,23.0
wavefunction,26.0,25,32.0,33.0,34.0,35.0,36.0,34.0,35.0,36.0,36.0,33.0,33.0,34.0,33.0,33.0,31.0,31.0,25.0,23.0,23.0,22.0,21.0,21.0,22.0,23.0
nc,26.0,28,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,34.0,33.0,33.0,33.0,33.0,31.0,25.0,25.0,25.0,18.0,18.0,18.0,15.0,15.0,15.0,23.0
nonsupersymmetric,24.0,25,29.0,30.0,33.0,32.0,35.0,37.0,36.0,33.0,33.0,31.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,29.0,29.0,29.0,29.0,22.0
kleingordon,24.0,23,24.0,22.0,23.0,24.0,24.0,25.0,25.0,24.0,25.0,25.0,25.0,28.0,27.0,27.0,27.0,26.0,26.0,25.0,24.0,25.0,23.0,23.0,23.0,22.0
dc,24.0,27,30.0,30.0,29.0,29.0,29.0,29.0,29.0,28.0,29.0,29.0,30.0,31.0,31.0,28.0,25.0,24.0,23.0,23.0,24.0,24.0,25.0,23.0,22.0,22.0
higherdimensional,24.0,23,20.0,19.0,18.0,19.0,18.0,20.0,22.0,23.0,23.0,23.0,22.0,21.0,22.0,21.0,21.0,23.0,24.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0
abjm,15.0,17,17.0,17.0,22.0,23.0,23.0,23.0,26.0,26.0,25.0,25.0,25.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,21.0,22.0,22.0,22.0,22.0
gev,35.0,32,34.0,34.0,33.0,31.0,27.0,30.0,28.0,28.0,25.0,25.0,24.0,22.0,23.0,23.0,19.0,22.0,24.0,24.0,23.0,22.0,21.0,20.0,22.0,22.0
ds,19.0,20,18.0,19.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,17.0,18.0,20.0,20.0,22.0,23.0,22.0,22.0,23.0,21.0,21.0,21.0,22.0
ryutakayanagi,8.0,7,6.0,5.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,15.0,17.0,21.0,22.0,22.0,21.0,21.0,21.0,22.0
eigenstates,21.0,21,21.0,22.0,19.0,21.0,21.0,24.0,25.0,26.0,26.0,26.0,21.0,22.0,24.0,22.0,24.0,24.0,25.0,27.0,26.0,25.0,24.0,19.0,20.0,22.0
baryogenesis,16.0,16,19.0,21.0,20.0,20.0,20.0,21.0,19.0,19.0,19.0,18.0,16.0,16.0,22.0,21.0,21.0,18.0,18.0,18.0,20.0,20.0,20.0,19.0,20.0,22.0
wigner,21.0,22,26.0,25.0,29.0,29.0,29.0,30.0,28.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,26.0,26.0,24.0,24.0,22.0,23.0,23.0,23.0,21.0
gaugegravity,18.0,17,18.0,20.0,20.0,21.0,20.0,20.0,22.0,21.0,21.0,19.0,19.0,19.0,20.0,20.0,21.0,20.0,19.0,19.0,18.0,20.0,23.0,23.0,22.0,21.0
realisation,12.0,14,15.0,15.0,17.0,17.0,18.0,18.0,17.0,19.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,19.0,18.0,19.0,20.0,19.0,22.0,22.0,22.0,21.0
seibergwitten,16.0,17,17.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,16.0,14.0,14.0,14.0,14.0,16.0,15.0,14.0,14.0,14.0,15.0,19.0,22.0,21.0,21.0
bispectrum,11.0,14,15.0,12.0,13.0,14.0,12.0,14.0,15.0,15.0,15.0,15.0,17.0,17.0,16.0,16.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,21.0,21.0
teleparallel,20.0,19,19.0,19.0,22.0,21.0,19.0,19.0,18.0,16.0,16.0,16.0,18.0,23.0,23.0,23.0,22.0,20.0,20.0,20.0,22.0,22.0,18.0,18.0,20.0,21.0
equivariant,20.0,20,20.0,20.0,20.0,18.0,19.0,25.0,24.0,24.0,24.0,26.0,25.0,26.0,27.0,26.0,26.0,24.0,26.0,24.0,24.0,25.0,25.0,25.0,25.0,20.0
mathbb,44.0,43,49.0,49.0,48.0,38.0,37.0,38.0,37.0,36.0,36.0,35.0,35.0,31.0,32.0,32.0,30.0,29.0,27.0,27.0,27.0,27.0,23.0,23.0,21.0,20.0
yangbaxter,27.0,27,26.0,26.0,27.0,28.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,16.0,19.0,21.0,22.0,26.0,23.0,23.0,23.0,21.0,20.0
worldvolume,26.0,24,16.0,18.0,18.0,20.0,20.0,20.0,21.0,21.0,21.0,16.0,16.0,19.0,17.0,17.0,19.0,21.0,20.0,20.0,23.0,22.0,21.0,21.0,21.0,20.0
braneworld,22.0,20,19.0,22.0,22.0,23.0,22.0,21.0,22.0,22.0,19.0,17.0,17.0,18.0,20.0,22.0,23.0,23.0,25.0,21.0,22.0,22.0,24.0,21.0,20.0,20.0
tachyon,22.0,20,20.0,20.0,19.0,19.0,23.0,23.0,21.0,21.0,22.0,19.0,20.0,19.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,23.0,22.0,20.0,20.0,20.0
hadron,9.0,9,10.0,11.0,13.0,13.0,13.0,12.0,14.0,16.0,17.0,17.0,18.0,21.0,21.0,22.0,23.0,21.0,22.0,22.0,21.0,19.0,19.0,20.0,20.0,20.0
bimetric,18.0,18,15.0,15.0,14.0,14.0,14.0,13.0,15.0,15.0,15.0,16.0,17.0,17.0,16.0,15.0,14.0,13.0,13.0,13.0,13.0,17.0,18.0,22.0,19.0,20.0
superyangmills,15.0,15,18.0,19.0,20.0,20.0,20.0,23.0,22.0,20.0,20.0,19.0,19.0,19.0,21.0,21.0,20.0,20.0,20.0,17.0,17.0,18.0,18.0,20.0,19.0,20.0
finitedimensional,15.0,14,12.0,13.0,13.0,13.0,14.0,15.0,14.0,14.0,15.0,16.0,16.0,19.0,19.0,18.0,18.0,16.0,15.0,17.0,19.0,19.0,19.0,19.0,19.0,20.0
polylogarithms,15.0,14,13.0,12.0,12.0,11.0,11.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,13.0,13.0,12.0,17.0,18.0,19.0,19.0,20.0
fock,10.0,12,11.0,11.0,10.0,12.0,12.0,14.0,13.0,13.0,14.0,14.0,17.0,18.0,16.0,14.0,14.0,15.0,16.0,15.0,18.0,18.0,18.0,18.0,17.0,20.0
doubletrace,18.0,19,20.0,20.0,22.0,21.0,21.0,21.0,18.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,24.0,24.0,19.0,19.0,19.0,16.0,17.0,17.0,17.0,20.0
etc,9.0,11,11.0,11.0,10.0,9.0,12.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,15.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,20.0
ghostfree,18.0,18,15.0,17.0,16.0,15.0,15.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,11.0,10.0,10.0,10.0,8.0,8.0,11.0,11.0,17.0,16.0,20.0
rindler,20.0,20,17.0,17.0,17.0,21.0,21.0,20.0,20.0,19.0,19.0,17.0,18.0,19.0,18.0,17.0,17.0,17.0,15.0,13.0,10.0,10.0,9.0,10.0,13.0,20.0
isospin,9.0,11,11.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,10.0,10.0,11.0,12.0,12.0,14.0,14.0,18.0,18.0,19.0,22.0,23.0,22.0,19.0
andor,22.0,20,23.0,24.0,24.0,25.0,23.0,24.0,25.0,25.0,25.0,21.0,22.0,23.0,23.0,24.0,24.0,23.0,23.0,23.0,23.0,22.0,22.0,22.0,21.0,19.0
hypermultiplet,11.0,13,13.0,14.0,18.0,15.0,15.0,13.0,18.0,18.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,18.0,19.0,20.0,21.0,19.0
higherderivative,35.0,34,35.0,37.0,38.0,35.0,34.0,34.0,40.0,41.0,39.0,39.0,38.0,36.0,33.0,30.0,31.0,31.0,31.0,31.0,31.0,26.0,25.0,25.0,20.0,19.0
chern,16.0,17,16.0,16.0,16.0,17.0,15.0,16.0,19.0,18.0,18.0,17.0,17.0,17.0,17.0,16.0,18.0,19.0,20.0,22.0,21.0,21.0,20.0,20.0,20.0,19.0
frw,8.0,8,11.0,11.0,12.0,17.0,15.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,17.0,16.0,17.0,17.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,19.0
cartan,9.0,9,8.0,8.0,9.0,10.0,10.0,11.0,11.0,13.0,12.0,12.0,13.0,14.0,16.0,18.0,18.0,19.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0
quasiparticle,12.0,14,14.0,13.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,15.0,19.0,18.0,18.0,18.0,19.0,19.0,17.0,16.0,16.0,16.0,17.0,17.0,19.0,19.0
gravitino,26.0,26,23.0,22.0,24.0,22.0,22.0,23.0,22.0,22.0,20.0,20.0,20.0,20.0,26.0,23.0,23.0,22.0,19.0,18.0,16.0,16.0,16.0,15.0,19.0,19.0
bf,41.0,41,41.0,38.0,41.0,41.0,38.0,38.0,37.0,36.0,35.0,34.0,23.0,24.0,22.0,23.0,22.0,22.0,22.0,22.0,22.0,20.0,19.0,19.0,17.0,19.0
polyakov,14.0,14,13.0,15.0,16.0,15.0,15.0,18.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,18.0,18.0,20.0,20.0,18.0,20.0,20.0,19.0,21.0,21.0,18.0
worldline,14.0,15,15.0,17.0,16.0,18.0,21.0,24.0,24.0,24.0,24.0,23.0,21.0,21.0,22.0,23.0,23.0,22.0,23.0,21.0,23.0,23.0,23.0,21.0,20.0,18.0
pion,23.0,26,22.0,24.0,23.0,24.0,22.0,22.0,22.0,24.0,24.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0,23.0,21.0,21.0,22.0,21.0,21.0,20.0,18.0
tensortoscalar,24.0,22,20.0,22.0,22.0,21.0,22.0,21.0,20.0,20.0,19.0,17.0,17.0,17.0,19.0,20.0,20.0,22.0,22.0,22.0,22.0,21.0,20.0,20.0,20.0,18.0
byproduct,25.0,25,21.0,20.0,23.0,22.0,22.0,21.0,19.0,17.0,18.0,18.0,18.0,20.0,18.0,17.0,17.0,15.0,16.0,19.0,20.0,19.0,19.0,19.0,18.0,18.0
dft,11.0,14,14.0,12.0,12.0,12.0,12.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18.0,18.0,18.0,18.0,20.0,22.0,18.0,18.0,18.0,18.0
timereversal,18.0,20,19.0,20.0,20.0,23.0,23.0,26.0,23.0,23.0,21.0,20.0,20.0,20.0,21.0,21.0,23.0,23.0,22.0,21.0,18.0,19.0,18.0,18.0,18.0,18.0
bms,23.0,25,19.0,19.0,18.0,18.0,19.0,18.0,18.0,16.0,16.0,16.0,17.0,18.0,18.0,15.0,16.0,15.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0
cauchy,15.0,15,15.0,13.0,10.0,10.0,11.0,11.0,9.0,13.0,14.0,14.0,16.0,18.0,17.0,18.0,18.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
thematrix,7.0,9,10.0,16.0,17.0,17.0,16.0,16.0,17.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,17.0,16.0,16.0,18.0,18.0,18.0
righthanded,14.0,15,14.0,13.0,15.0,17.0,16.0,16.0,15.0,14.0,15.0,14.0,15.0,16.0,17.0,17.0,17.0,16.0,16.0,16.0,18.0,17.0,18.0,17.0,18.0,18.0
bogoliubov,11.0,13,14.0,13.0,13.0,13.0,14.0,16.0,15.0,15.0,15.0,13.0,21.0,18.0,17.0,17.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0
bekensteinhawking,21.0,21,19.0,19.0,21.0,20.0,20.0,21.0,22.0,23.0,19.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,22.0,21.0,19.0,18.0,16.0,16.0,18.0,18.0
superradiant,15.0,16,15.0,15.0,15.0,18.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,21.0,22.0,22.0,23.0,22.0,21.0,21.0,20.0,20.0,20.0,20.0,17.0,18.0
sqrt,11.0,9,11.0,12.0,11.0,10.0,11.0,11.0,11.0,15.0,15.0,14.0,16.0,17.0,17.0,17.0,17.0,17.0,16.0,17.0,19.0,19.0,19.0,20.0,17.0,18.0
superluminal,4.0,3,3.0,5.0,5.0,5.0,5.0,3.0,9.0,10.0,10.0,10.0,11.0,11.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,17.0,17.0,17.0,18.0
wavelength,18.0,20,19.0,19.0,20.0,22.0,21.0,20.0,21.0,22.0,21.0,20.0,21.0,17.0,15.0,15.0,14.0,15.0,15.0,15.0,14.0,15.0,16.0,16.0,17.0,18.0
baryonic,13.0,14,14.0,14.0,15.0,15.0,15.0,13.0,18.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,15.0,15.0,15.0,15.0,15.0,17.0,18.0
bosonization,10.0,9,10.0,10.0,10.0,10.0,11.0,13.0,14.0,14.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,13.0,13.0,14.0,15.0,17.0,18.0
onepoint,9.0,7,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,14.0,14.0,15.0,17.0,16.0,16.0,16.0,16.0,18.0
yangian,7.0,10,10.0,13.0,13.0,13.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0
gribov,10.0,10,10.0,12.0,12.0,11.0,9.0,9.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,11.0,11.0,11.0,11.0,14.0,14.0,15.0,15.0,18.0
pbh,25.0,25,20.0,18.0,23.0,27.0,27.0,27.0,26.0,26.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,15.0,15.0,16.0,16.0,16.0,13.0,13.0,18.0
borninfeld,35.0,35,34.0,34.0,34.0,34.0,36.0,36.0,36.0,30.0,27.0,28.0,24.0,24.0,25.0,24.0,25.0,20.0,21.0,22.0,26.0,24.0,23.0,23.0,23.0,17.0
sl,24.0,24,25.0,22.0,22.0,23.0,26.0,28.0,28.0,28.0,31.0,31.0,31.0,29.0,28.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,24.0,22.0,21.0,17.0
bao,10.0,9,9.0,9.0,9.0,9.0,9.0,13.0,16.0,13.0,14.0,13.0,14.0,11.0,11.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,17.0
characterised,9.0,11,11.0,14.0,14.0,14.0,14.0,14.0,15.0,13.0,13.0,13.0,14.0,14.0,14.0,15.0,17.0,17.0,16.0,16.0,16.0,16.0,17.0,18.0,17.0,17.0
wkb,11.0,12,12.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,13.0,14.0,14.0,13.0,13.0,14.0,18.0,19.0,19.0,17.0,17.0,17.0
dbi,10.0,10,9.0,8.0,6.0,9.0,9.0,10.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,14.0,14.0,18.0,18.0,20.0,21.0,21.0,17.0,17.0,17.0,17.0
hopf,12.0,16,16.0,16.0,15.0,17.0,17.0,18.0,18.0,18.0,19.0,17.0,18.0,20.0,20.0,21.0,19.0,19.0,18.0,18.0,18.0,16.0,17.0,17.0,17.0,17.0
thecdm,7.0,8,8.0,8.0,12.0,12.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,16.0,16.0,17.0,17.0,17.0,17.0
selfinteracting,10.0,10,11.0,12.0,13.0,13.0,13.0,13.0,13.0,11.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,10.0,11.0,12.0,13.0,13.0,14.0,16.0,17.0,17.0
nongaussian,10.0,11,11.0,11.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,17.0,16.0,15.0,17.0,17.0
isocurvature,10.0,10,8.0,9.0,9.0,9.0,8.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,17.0,17.0
reissnernordstrom,11.0,11,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,15.0,15.0,15.0,16.0,16.0,17.0,16.0,15.0,16.0,17.0,16.0,17.0
nsns,6.0,6,6.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,11.0,13.0,14.0,14.0,17.0,17.0,15.0,17.0
bessel,4.0,4,5.0,5.0,5.0,3.0,3.0,7.0,6.0,6.0,7.0,10.0,11.0,11.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,17.0
supersymmetries,22.0,23,25.0,28.0,24.0,22.0,23.0,29.0,29.0,29.0,28.0,25.0,25.0,25.0,24.0,24.0,24.0,23.0,22.0,21.0,22.0,22.0,22.0,19.0,17.0,16.0
noninteracting,7.0,7,7.0,7.0,7.0,7.0,8.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,11.0,12.0,14.0,14.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,16.0
otoc,13.0,13,13.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,8.0,8.0,8.0,8.0,9.0,13.0,15.0,15.0,15.0,17.0,16.0
dbranes,23.0,23,19.0,21.0,19.0,18.0,18.0,16.0,19.0,19.0,19.0,18.0,19.0,19.0,18.0,19.0,22.0,23.0,20.0,20.0,21.0,19.0,19.0,22.0,16.0,16.0
wald,9.0,10,9.0,9.0,9.0,9.0,9.0,11.0,12.0,12.0,12.0,12.0,15.0,15.0,16.0,15.0,15.0,15.0,18.0,16.0,17.0,18.0,17.0,17.0,16.0,16.0
sachdevyekitaev,21.0,18,19.0,20.0,19.0,18.0,19.0,17.0,18.0,18.0,18.0,20.0,20.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,17.0,16.0,16.0,16.0,16.0,16.0
ringdown,10.0,9,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,14.0,14.0,15.0,15.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0
fracton,7.0,7,7.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,7.0,7.0,7.0,7.0,16.0,16.0,16.0,16.0,16.0
homotopy,3.0,3,3.0,3.0,11.0,13.0,13.0,13.0,14.0,14.0,16.0,15.0,16.0,16.0,16.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0
nonhermitian,7.0,7,7.0,7.0,7.0,7.0,7.0,16.0,16.0,17.0,17.0,17.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,16.0,15.0,16.0,16.0
skyrmion,6.0,6,6.0,7.0,5.0,5.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,13.0,14.0,14.0,14.0,17.0,18.0,15.0,15.0,15.0,16.0,16.0
wheelerdewitt,8.0,8,8.0,6.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,14.0,14.0,14.0,14.0,15.0,15.0,16.0,16.0
lorentzviolating,11.0,11,11.0,8.0,7.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,11.0,12.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0
codimension,10.0,10,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,16.0,16.0,13.0,14.0,14.0,15.0,16.0
kacmoody,16.0,15,15.0,17.0,18.0,19.0,18.0,19.0,18.0,12.0,12.0,15.0,15.0,15.0,15.0,16.0,13.0,14.0,13.0,13.0,13.0,12.0,13.0,13.0,14.0,16.0
racah,1.0,1,2.0,3.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,16.0
threeloop,9.0,8,7.0,7.0,7.0,7.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,12.0,12.0,12.0,13.0,11.0,11.0,16.0
wavefunctions,14.0,14,16.0,16.0,15.0,17.0,15.0,15.0,16.0,18.0,19.0,17.0,16.0,18.0,19.0,18.0,16.0,16.0,18.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0
algebroid,7.0,8,8.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,16.0,17.0,16.0,16.0,15.0,15.0,15.0,16.0,15.0
dbrane,25.0,26,25.0,28.0,26.0,26.0,26.0,26.0,28.0,28.0,28.0,25.0,24.0,24.0,23.0,23.0,22.0,21.0,21.0,21.0,19.0,19.0,21.0,19.0,15.0,15.0
tev,21.0,21,22.0,22.0,22.0,23.0,23.0,23.0,23.0,22.0,21.0,19.0,19.0,19.0,19.0,20.0,20.0,21.0,21.0,19.0,20.0,19.0,17.0,15.0,15.0,15.0
cs,13.0,14,16.0,16.0,16.0,16.0,16.0,16.0,13.0,13.0,13.0,13.0,13.0,10.0,12.0,13.0,18.0,18.0,18.0,18.0,19.0,19.0,17.0,15.0,15.0,15.0
baryons,14.0,14,16.0,16.0,13.0,13.0,12.0,15.0,15.0,15.0,15.0,10.0,12.0,12.0,12.0,12.0,13.0,12.0,11.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0
lhc,19.0,20,19.0,18.0,18.0,18.0,18.0,19.0,19.0,17.0,15.0,15.0,13.0,15.0,16.0,17.0,18.0,18.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,15.0
hyperscaling,15.0,14,15.0,15.0,20.0,21.0,21.0,21.0,24.0,23.0,24.0,24.0,21.0,19.0,19.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0
textit,9.0,9,11.0,11.0,11.0,10.0,10.0,17.0,16.0,15.0,15.0,15.0,15.0,20.0,20.0,19.0,19.0,18.0,17.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
snyder,1.0,4,4.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
mordellweil,1.0,1,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
boltzmann,20.0,20,19.0,18.0,18.0,20.0,17.0,19.0,19.0,20.0,19.0,18.0,18.0,15.0,15.0,14.0,15.0,14.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,15.0
rsymmetry,18.0,18,20.0,20.0,19.0,16.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,14.0,14.0,15.0,16.0,15.0,14.0,15.0
renormalizability,13.0,15,16.0,14.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,16.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,12.0,12.0,13.0,14.0,15.0
redshift,30.0,29,29.0,30.0,31.0,30.0,30.0,32.0,32.0,31.0,31.0,28.0,27.0,22.0,23.0,23.0,24.0,24.0,23.0,22.0,15.0,13.0,13.0,17.0,15.0,14.0
aforementioned,16.0,16,17.0,17.0,16.0,17.0,17.0,16.0,16.0,16.0,16.0,14.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,14.0
proca,14.0,13,12.0,11.0,11.0,11.0,9.0,7.0,7.0,10.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,14.0,14.0,16.0,16.0,16.0,14.0,14.0
